A2ML1	C1QB
A2ML1	MAST2
AACS	CCND3
AADACL2	ADAM12
AADACL2	AMELX
AADACL2	ARHGEF1
AADACL2	BAK1
AADACL2	BMP8A
AADACL2	C11orf24
AADACL2	C12orf45
AADACL2	C8A
AADACL2	CD151
AADACL2	HNRNPAB
AADACL2	LCN15
AADACL2	MELK
AADACL2	PITPNM1
AADACL2	PVR
AADACL2	TFB1M
AADAC	AATF
AADAC	ARTN
AADAC	ATAD5
AADAC	ATP6AP1
AADAC	BAK1
AADAC	BARHL1
AADAC	BRCA1
AADAC	BRIP1
AADAC	C17orf53
AADAC	CACNG5
AADAC	CANT1
AADAC	CASC3
AADAC	CC2D1B
AADAC	CDC6
AADAC	CDCA8
AADAC	CTTN
AADAC	DBF4B
AADAC	DNA2
AADAC	DNMT1
AADAC	DPF1
AADAC	EME1
AADAC	EXO1
AADAC	FAM171A2
AADAC	HCFC1
AADAC	KIAA0100
AADAC	KIF18B
AADAC	KIF2C
AADAC	LCN15
AADAC	LRRC42
AADAC	LSM12
AADAC	MAST2
AADAC	MEAF6
AADAC	MED24
AADAC	MELK
AADAC	MYO19
AADAC	OR2H1
AADAC	OR2T33
AADAC	OR2T8
AADAC	ORC1L
AADAC	PAFAH1B3
AADAC	PKNOX1
AADAC	POLA2
AADAC	PPP4R1
AADAC	PRKCSH
AADAC	PSMC3IP
AADAC	PUSL1
AADAC	RDM1
AADAC	STIL
AADAC	TIMELESS
AADAC	TMEM69
AADAC	TOP2A
AADAC	USP17L2
AADAC	ZIM2
AAGAB	CLDN11
AAGAB	CLDN18
AAGAB	EFEMP1
AAGAB	FSTL1
AAGAB	LAMB1
AAGAB	TSHZ2
AAK1	DVL1
AAK1	EFNA2
AAK1	ERP29
AAK1	GPSM3
AAK1	PKP3
AAK1	PTDSS2
AAK1	SCAMP4
AARSD1	ADPRH
AARSD1	CLDN11
AARSD1	COL8A1
AARSD1	ENPP2
AARSD1	PSKH2
AARSD1	RHAG
AARSD1	SEMA3E
AASDHPPT	CLDN11
AASDHPPT	S100A10
AASS	SLC2A1
AATF	SNX7
AATK	LMLN
ABCA10	PTCD1
ABCA1	MYBL2
ABCA1	RPN1
ABCA3	FOXL2
ABCA3	GPR87
ABCA3	PTPN12
ABCA6	KIAA1524
ABCA6	POLQ
ABCA6	PTCD1
ABCA6	VARS
ABCA7	HCN1
ABCA7	PTPRZ1
ABCA8	PTCD1
ABCA9	CRCP
ABCB11	AURKA
ABCB11	DHX37
ABCB11	EDEM2
